Timestamp,"Do you play modded Celeste maps? (Strawberry Jam, spring collab, ect)",If so what is the level of your best completed map?,If you do not play modded maps what in game levels are you currently playing?,What percentage of Celeste players do you think you are in? (1% meaning you're better than 99% of players and 99% meaning you're better than 1% of players) Also keep in mind that only 8% of players have completed farewell according to steam.,How many hours do you have in Celeste?,,,,,
1/29/2024 0:15:47,Yes,Red Expert,,0.50%,500-750,,Red Beginner,20%,,
1/29/2024 0:16:07,No,,C-Sides 3-5,25%,75-100,,Green Intermediate,12.50%,,
1/29/2024 0:16:15,No,,B-Sides 6-7,55%,30-40,,Yellow Intermediate,11%,,
1/29/2024 0:16:31,Yes,Red Intermediate,Farewell,55%,50-60,,Red Intermediate,8%,,
1/29/2024 0:18:38,Yes,Red Advanced,,3%,75-100,,Green Advanced,7%,,
1/29/2024 0:20:05,Yes,Yellow Expert,,0.50%,200-300,,Yellow Advanced,6%,,
1/29/2024 0:23:09,Yes,Red Expert,,0.50%,300-500,,Red Advanced ,5%,,
1/29/2024 0:23:38,Yes,Red Advanced,,0.50%,300-500,,Green Expert ,4%,,
1/29/2024 0:24:44,Yes,Red Grandmaster,,0.50%,750-1000,,Yellow Expert,3.50%,,
1/29/2024 0:24:48,Yes,Red Advanced,,5%,200-300,,Red Expert ,2.50%,,
1/29/2024 0:24:56,Yes,Grandmaster+,,95%,1000-1500,,Green Grandmaster,1.50%,,
1/29/2024 0:25:16,Yes,Red Expert,,7.50%,200-300,,Yellow Grandmaster ,1.25%,,
1/29/2024 0:25:20,Yes,Green Grandmaster,,3%,1000-1500,,Red Grandmaster,1%,,
1/29/2024 0:25:44,Yes,Red Expert,Farewell,0.50%,300-500,,Grandmaster+,0.50%,,
1/29/2024 0:26:23,Yes,Green Advanced,,5%,100-150,,,,,
1/29/2024 0:26:42,Yes,Yellow Intermediate,,7.50%,30-40,,,,,
1/29/2024 0:26:51,Yes,Red Advanced,,3%,200-300,,,,,
1/29/2024 0:27:52,No,,C-Sides 6-7,7.50%,100-150,,,,,
1/29/2024 0:29:06,Yes,Yellow Advanced,,3%,150-200,,,,,
1/29/2024 0:29:46,No,,Farewell,3%,100-150,,,,,
1/29/2024 0:31:47,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 0:32:50,Yes,Red Advanced,Farewell,7.50%,100-150,,,,,
1/29/2024 0:33:02,Yes,Yellow Advanced,Farewell,55%,100-150,,,,,
1/29/2024 0:33:46,Yes,Grandmaster+,,0.50%,750-1000,,,,,
1/29/2024 0:34:27,Yes,Green Grandmaster,,3%,200-300,,,,,
1/29/2024 0:37:23,No,,Farewell,15%,200-300,,,,,
1/29/2024 0:37:52,Yes,Green Grandmaster,,0.50%,750-1000,,,,,
1/29/2024 0:38:31,No,,Farewell,75%,300-500,,,,,
1/29/2024 0:38:44,Yes,Green Expert,,3%,200-300,,,,,
1/29/2024 0:42:00,No,,Farewell,7.50%,40-50,,,,,
1/29/2024 0:43:03,No,Yellow Intermediate,Farewell,15%,50-60,,,,,
1/29/2024 0:43:39,Yes,Yellow Expert,,7.50%,300-500,,,,,
1/29/2024 0:44:58,Yes,Green Intermediate,Farewell,15%,100-150,,,,,
1/29/2024 0:45:38,Yes,Green Advanced,,7.50%,200-300,,,,,
1/29/2024 0:46:16,Yes,Red Advanced,Farewell,25%,300-500,,,,,
1/29/2024 0:47:32,Yes,5%,,7.50%,100-150,,,,,
1/29/2024 0:47:38,Yes,Yellow Grandmaster,,3%,300-500,,,,,
1/29/2024 0:48:23,Yes,Red Advanced,,55%,,,,,,
1/29/2024 0:49:04,Yes,Yellow Grandmaster,,25%,300-500,,,,,
1/29/2024 0:52:11,Yes,Red Beginner,Farewell,85%,40-50,,,,,
1/29/2024 0:52:44,Yes,Red Expert,,35%,200-300,,,,,
1/29/2024 0:52:55,Yes,Red Grandmaster,,0.50%,300-500,,,,,
1/29/2024 0:52:56,No,,,7.50%,100-150,,,,,
1/29/2024 0:54:48,No,,Farewell,0.50%,1000-1500,,,,,
1/29/2024 0:55:29,Yes,Grandmaster+,,0.50%,2000+,,,,,
1/29/2024 0:57:20,Yes,Red Intermediate,,7.50%,50-60,,,,,
1/29/2024 1:00:21,Yes,Green Grandmaster,,0.50%,1000-1500,,,,,
1/29/2024 1:01:16,Yes,Red Expert,,95%,150-200,,,,,
1/29/2024 1:02:35,Yes,Green Advanced,Farewell,3%,300-500,,,,,
1/29/2024 1:02:43,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 1:03:57,Yes,Yellow Advanced,,3%,200-300,,,,,
1/29/2024 1:05:28,Yes,Red Expert,,85%,500-750,,,,,
1/29/2024 1:07:08,No,,Farewell,15%,30-40,,,,,
1/29/2024 1:07:56,No,,Farewell,3%,200-300,,,,,
1/29/2024 1:10:04,Yes,Red Expert,,25%,300-500,,,,,
1/29/2024 1:10:34,Yes,Yellow Intermediate,Farewell,25%,200-300,,,,,
1/29/2024 1:14:19,No,,,7.50%,100-150,,,,,
1/29/2024 1:16:44,Yes,Red Grandmaster,,0.50%,500-750,,,,,
1/29/2024 1:17:43,Yes,Red Advanced,,35%,500-750,,,,,
1/29/2024 1:18:06,No,,B-Sides 3-5,55%,10-20,,,,,
1/29/2024 1:18:33,Yes,Red Expert,,3%,300-500,,,,,
1/29/2024 1:18:35,Yes,Yellow Expert,,5%,150-200,,,,,
1/29/2024 1:20:10,No,,,3%,150-200,,,,,
1/29/2024 1:21:31,Yes,Green Expert,,3%,200-300,,,,,
1/29/2024 1:24:53,No,,Farewell,7.50%,60-75,,,,,
1/29/2024 1:31:09,No,,Farewell,65%,200-300,,,,,
1/29/2024 1:33:50,Yes,Red Expert,,0.50%,200-300,,,,,
1/29/2024 1:34:54,No,,Farewell,3%,30-40,,,,,
1/29/2024 1:35:10,No,,Farewell,55%,30-40,,,,,
1/29/2024 1:35:36,No,Green Advanced,Chapters 1-3,7.50%,60-75,,,,,
1/29/2024 1:38:20,Yes,Yellow Expert,,15%,300-500,,,,,
1/29/2024 1:38:26,Yes,Red Advanced,,3%,300-500,,,,,
1/29/2024 1:43:03,Yes,Grandmaster+,,0.50%,2000+,,,,,
1/29/2024 1:43:35,No,,Farewell,55%,60-75,,,,,
1/29/2024 1:44:41,Yes,Green Expert,Farewell,0.50%,750-1000,,,,,
1/29/2024 1:45:59,Yes,Red Intermediate,,15%,300-500,,,,,
1/29/2024 1:46:18,No,,B-Sides 3-5,35%,60-75,,,,,
1/29/2024 1:47:11,No,,,7.50%,75-100,,,,,
1/29/2024 1:49:22,No,,Farewell,7.50%,200-300,,,,,
1/29/2024 1:51:45,Yes,Red Intermediate,,7.50%,150-200,,,,,
1/29/2024 1:51:53,No,,B-Sides 6-7,35%,75-100,,,,,
1/29/2024 1:52:20,No,,C-Sides 6-7,55%,40-50,,,,,
1/29/2024 1:52:32,Yes,Red Intermediate,,3%,200-300,,,,,
1/29/2024 1:53:27,No,,Farewell,25%,40-50,,,,,
1/29/2024 1:56:47,Yes,Red Intermediate,,7.50%,75-100,,,,,
1/29/2024 1:57:57,No,,Core,25%,10-20,,,,,
1/29/2024 2:00:39,No,,B-Sides 6-7,25%,50-60,,,,,
1/29/2024 2:03:57,Yes,Red Intermediate,,3%,100-150,,,,,
1/29/2024 2:07:25,No,,Chapters 4-5,7.50%,10-20,,,,,
1/29/2024 2:07:34,Yes,Yellow Expert,,7.50%,1000-1500,,,,,
1/29/2024 2:11:46,No,,Farewell,3%,100-150,,,,,
1/29/2024 2:15:40,Yes,Red Intermediate,Farewell,15%,75-100,,,,,
1/29/2024 2:16:35,Yes,Yellow Expert,,7.50%,300-500,,,,,
1/29/2024 2:18:36,No,,Farewell,85%,200-300,,,,,
1/29/2024 2:19:54,Yes,Yellow Advanced,,3%,200-300,,,,,
1/29/2024 2:22:50,Yes,Green Grandmaster,,3%,300-500,,,,,
1/29/2024 2:22:56,No,,Farewell,7.50%,10-20,,,,,
1/29/2024 2:24:27,Yes,Green Advanced,,3%,75-100,,,,,
1/29/2024 2:26:16,Yes,Green Expert,,3%,500-750,,,,,
1/29/2024 2:32:43,Yes,Green Grandmaster,,3%,500-750,,,,,
1/29/2024 2:33:35,Yes,Green Expert,,15%,200-300,,,,,
1/29/2024 2:34:54,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 2:37:39,No,,Farewell,95%,100-150,,,,,
1/29/2024 2:37:56,Yes,Red Intermediate,,7.50%,50-60,,,,,
1/29/2024 2:38:27,Yes,Yellow Advanced,Farewell,7.50%,100-150,,,,,
