Timestamp,"Do you play modded Celeste maps? (Strawberry Jam, spring collab, ect)",If so what is the level of your best completed map?,If you do not play modded maps what in game levels are you currently playing?,What percentage of Celeste players do you think you are in? (1% meaning you're better than 99% of players and 99% meaning you're better than 1% of players) Also keep in mind that only 8% of players have completed farewell according to steam.,How many hours do you have in Celeste?,,,,,
1/29/2024 7:49:40,Yes,Grandmaster+,,0.50%,500-750,,,,,
1/29/2024 7:56:34,Yes,Green Grandmaster,,15%,300-500,,,,,
1/29/2024 7:57:49,No,,Farewell,45%,30-40,,,,,
1/29/2024 7:58:09,Yes,Red Expert,,3%,750-1000,,,,,
1/29/2024 7:58:20,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 8:03:07,Yes,Red Grandmaster,,5%,300-500,,,,,
1/29/2024 8:03:26,No,,B-Sides 3-5,15%,5-10,,,,,
1/29/2024 8:03:36,No,,Chapters 1-3,95%,10-20,,,,,
1/29/2024 8:04:40,Yes,Yellow Advanced,,7.50%,200-300,,,,,
1/29/2024 8:06:03,No,,Farewell,7.50%,50-60,,,,,
1/29/2024 8:06:38,No,Green Expert,Farewell,7.50%,20-30,,,,,
1/29/2024 8:08:04,Yes,Red Beginner,,25%,100-150,,,,,
1/29/2024 8:08:18,No,,Farewell,7.50%,40-50,,,,,
1/29/2024 8:09:16,No,,Farewell,7.50%,50-60,,,,,
1/29/2024 8:15:23,No,,C-Sides 6-7,75%,60-75,,,,,
1/29/2024 8:20:40,Yes,Red Grandmaster,,0.50%,750-1000,,,,,
1/29/2024 8:20:41,No,,Farewell,7.50%,75-100,,,,,
1/29/2024 8:23:32,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 8:26:39,No,,Farewell,7.50%,20-30,,,,,
1/29/2024 8:34:20,Yes,Yellow Grandmaster,B-Sides 6-7,5%,500-750,,,,,
1/29/2024 8:35:30,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 8:37:54,Yes,Red Advanced,,7.50%,300-500,,,,,
1/29/2024 8:38:12,No,,C-Sides 6-7,35%,100-150,,,,,
1/29/2024 8:41:54,Yes,Yellow Advanced,,3%,300-500,,,,,
1/29/2024 8:45:14,No,,Farewell,7.50%,75-100,,,,,
1/29/2024 8:46:54,No,,C-Sides 3-5,55%,30-40,,,,,
1/29/2024 8:51:18,Yes,Red Advanced,,3%,100-150,,,,,
1/29/2024 8:53:46,No,,Farewell,15%,40-50,,,,,
1/29/2024 8:54:19,No,,Core,55%,10-20,,,,,
1/29/2024 8:56:43,Yes,Red Expert,,0.50%,300-500,,,,,
1/29/2024 9:04:39,Yes,Green Expert,Farewell,0.50%,500-750,,,,,
1/29/2024 9:06:57,Yes,Red Advanced,,45%,300-500,,,,,
1/29/2024 9:07:05,Yes,Grandmaster+,,0.50%,,,,,,
1/29/2024 9:10:45,Yes,Red Advanced,,3%,150-200,,,,,
1/29/2024 9:14:43,Yes,Red Expert,,3%,300-500,,,,,
1/29/2024 9:17:24,Yes,Red Grandmaster,,3%,750-1000,,,,,
1/29/2024 9:21:54,Yes,Red Intermediate,,3%,200-300,,,,,
1/29/2024 9:23:34,No,Yellow Intermediate,Farewell,3%,500-750,,,,,
1/29/2024 9:23:39,Yes,Yellow Grandmaster,,0.50%,1000-1500,,,,,
1/29/2024 9:23:50,Yes,Red Expert,,3%,200-300,,,,,
1/29/2024 9:30:58,Yes,Green Advanced,C-Sides 3-5,35%,50-60,,,,,
1/29/2024 9:34:15,Yes,Grandmaster+,,3%,1000-1500,,,,,
1/29/2024 9:34:54,No,,Farewell,7.50%,200-300,,,,,
1/29/2024 9:34:56,Yes,Green Advanced,,3%,100-150,,,,,
1/29/2024 9:37:36,Yes,Yellow Grandmaster,,3%,500-750,,,,,
1/29/2024 9:39:49,No,,Farewell,7.50%,75-100,,,,,
1/29/2024 9:42:25,Yes,Yellow Advanced,Farewell,15%,75-100,,,,,
1/29/2024 9:44:58,Yes,Red Expert,,0.50%,300-500,,,,,
1/29/2024 9:51:28,No,,Farewell,15%,40-50,,,,,
1/29/2024 9:54:33,Yes,Yellow Expert,Farewell,3%,200-300,,,,,
1/29/2024 9:55:19,No,,,7.50%,150-200,,,,,
1/29/2024 9:55:52,Yes,Red Intermediate,,15%,75-100,,,,,
1/29/2024 9:57:55,Yes,Red Intermediate,,7.50%,200-300,,,,,
1/29/2024 10:00:06,Yes,Yellow Advanced,,25%,300-500,,,,,
1/29/2024 10:05:14,Yes,Yellow Expert,,3%,150-200,,,,,
1/29/2024 10:11:17,No,,C-Sides 6-7,7.50%,60-75,,,,,
1/29/2024 10:12:02,Yes,Yellow Expert,,3%,500-750,,,,,
1/29/2024 10:14:33,Yes,Green Grandmaster,,7.50%,300-500,,,,,
1/29/2024 10:17:55,Yes,Green Advanced,,55%,200-300,,,,,
1/29/2024 10:19:24,Yes,Yellow Advanced,,7.50%,100-150,,,,,
1/29/2024 10:21:15,Yes,Yellow Expert,,0.50%,300-500,,,,,
1/29/2024 10:21:26,No,,Farewell,7.50%,40-50,,,,,
1/29/2024 10:25:55,No,,C-Sides 6-7,75%,150-200,,,,,
1/29/2024 10:26:19,No,,Farewell,35%,30-40,,,,,
1/29/2024 10:27:49,Yes,Green Expert,,7.50%,300-500,,,,,
1/29/2024 10:30:49,Yes,Yellow Intermediate,Farewell,15%,60-75,,,,,
1/29/2024 10:32:37,Yes,Green Grandmaster,,0.50%,750-1000,,,,,
1/29/2024 10:41:01,Yes,Yellow Advanced,Farewell,35%,100-150,,,,,
1/29/2024 10:41:27,Yes,Red Grandmaster,,3%,1000-1500,,,,,
1/29/2024 10:42:18,Yes,Yellow Advanced,Farewell,3%,200-300,,,,,
1/29/2024 10:45:32,Yes,Green Advanced,,0.50%,300-500,,,,,
1/29/2024 10:46:24,Yes,Yellow Expert,,0.50%,1000-1500,,,,,
1/29/2024 10:49:55,Yes,Yellow Expert,,3%,500-750,,,,,
1/29/2024 10:50:36,Yes,Green Intermediate,C-Sides 3-5,45%,100-150,,,,,
1/29/2024 10:53:36,Yes,Red Advanced,,0.50%,200-300,,,,,
1/29/2024 10:54:10,Yes,Red Expert,,3%,200-300,,,,,
1/29/2024 10:54:12,Yes,Red Beginner,,7.50%,50-60,,,,,
1/29/2024 10:57:40,No,,Farewell,65%,60-75,,,,,
1/29/2024 11:07:22,No,,Farewell,15%,200-300,,,,,
1/29/2024 11:08:54,Yes,Green Advanced,,15%,150-200,,,,,
1/29/2024 11:14:11,Yes,Red Intermediate,,25%,75-100,,,,,
1/29/2024 11:17:33,No,,,0.50%,750-1000,,,,,
1/29/2024 11:22:28,Yes,Red Expert,,3%,150-200,,,,,
1/29/2024 11:26:54,No,,,0.50%,2000+,,,,,
1/29/2024 11:33:43,No,,Farewell,15%,60-75,,,,,
1/29/2024 11:34:35,Yes,Red Expert,,0.50%,750-1000,,,,,
1/29/2024 11:34:35,No,,Farewell,25%,75-100,,,,,
1/29/2024 11:40:44,No,Green Advanced,Farewell,7.50%,50-60,,,,,
1/29/2024 11:47:26,Yes,Yellow Advanced,,3%,750-1000,,,,,
1/29/2024 11:48:08,Yes,Red Expert,Farewell,7.50%,500-750,,,,,
1/29/2024 11:53:06,Yes,Red Grandmaster,,0.50%,1000-1500,,,,,
1/29/2024 11:53:17,Yes,Yellow Expert,,7.50%,1000-1500,,,,,
1/29/2024 11:53:21,No,,B-Sides 6-7,45%,5-10,,,,,
1/29/2024 11:55:51,Yes,Red Expert,,3%,500-750,,,,,
1/29/2024 12:02:04,No,,Farewell,15%,30-40,,,,,
1/29/2024 12:03:22,No,,B-Sides 3-5,35%,20-30,,,,,
1/29/2024 12:08:19,No,,Farewell,25%,30-40,,,,,
1/29/2024 12:09:03,Yes,Yellow Expert,,7.50%,200-300,,,,,
1/29/2024 12:12:47,Yes,Red Grandmaster,,0.50%,300-500,,,,,
1/29/2024 12:23:17,No,,Farewell,7.50%,75-100,,,,,
1/29/2024 12:30:33,Yes,Red Intermediate,,55%,100-150,,,,,
1/29/2024 12:31:11,Yes,Red Grandmaster,,3%,750-1000,,,,,
1/29/2024 12:33:08,Yes,Red Expert,,7.50%,150-200,,,,,
1/29/2024 12:37:03,No,,Farewell,35%,60-75,,,,,
1/29/2024 12:37:50,Yes,Green Grandmaster,,45%,200-300,,,,,
1/29/2024 12:40:00,Yes,Red Expert,,3%,300-500,,,,,
1/29/2024 12:44:06,No,,Farewell,35%,60-75,,,,,
1/29/2024 12:47:46,Yes,Green Grandmaster,,7.50%,300-500,,,,,
1/29/2024 12:47:51,No,,Core,95%,30-40,,,,,
1/29/2024 12:47:59,Yes,Yellow Expert,,7.50%,300-500,,,,,
1/29/2024 12:48:52,Yes,Red Intermediate,Farewell,7.50%,300-500,,,,,
1/29/2024 12:51:30,Yes,Yellow Advanced,,7.50%,100-150,,,,,
1/29/2024 12:54:09,No,,C-Sides 1-2,85%,40-50,,,,,
1/29/2024 12:54:12,Yes,Red Intermediate,,7.50%,200-300,,,,,
1/29/2024 12:54:19,Yes,Red Grandmaster,,3%,500-750,,,,,
1/29/2024 12:55:33,No,,Farewell,7.50%,30-40,,,,,
1/29/2024 12:57:56,Yes,Red Beginner,Farewell,3%,300-500,,,,,
1/29/2024 13:13:33,Yes,Yellow Intermediate,,7.50%,75-100,,,,,
1/29/2024 13:16:33,Yes,Green Beginner,Farewell,15%,75-100,,,,,
1/29/2024 13:21:53,Yes,Green Beginner,Farewell,75%,30-40,,,,,
1/29/2024 13:27:46,No,,Farewell,55%,30-40,,,,,
1/29/2024 13:47:57,Yes,Green Expert,,3%,200-300,,,,,
1/29/2024 13:48:26,Yes,Yellow Grandmaster,,0.50%,2000+,,,,,
1/29/2024 13:49:40,Yes,Grandmaster+,,0.50%,1500-2000,,,,,
1/29/2024 13:50:11,Yes,Red Expert,Farewell,3%,75-100,,,,,
1/29/2024 13:50:39,Yes,Green Expert,,15%,500-750,,,,,
1/29/2024 13:51:51,No,,B-Sides 3-5,65%,20-30,,,,,
1/29/2024 13:54:18,No,,Farewell,3%,150-200,,,,,
1/29/2024 13:56:08,No,,Farewell,75%,75-100,,,,,
1/29/2024 13:57:51,Yes,Red Advanced,,3%,100-150,,,,,
1/29/2024 14:06:47,Yes,Yellow Intermediate,B-Sides 6-7,75%,200-300,,,,,
1/29/2024 14:10:36,Yes,Red Grandmaster,,0.50%,750-1000,,,,,
1/29/2024 14:13:38,No,,Farewell,35%,75-100,,,,,
1/29/2024 14:18:34,Yes,Red Advanced,,3%,100-150,,,,,
1/29/2024 14:22:00,Yes,Red Grandmaster,,25%,500-750,,,,,
1/29/2024 14:22:51,Yes,Red Beginner,Farewell,7.50%,60-75,,,,,
1/29/2024 14:22:58,Yes,Red Expert,Farewell,0.50%,300-500,,,,,
1/29/2024 14:25:21,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 14:26:38,Yes,Red Advanced,,3%,750-1000,,,,,
1/29/2024 14:30:36,Yes,Red Advanced,,15%,150-200,,,,,
1/29/2024 14:36:13,Yes,Green Expert,,7.50%,300-500,,,,,
1/29/2024 14:38:38,Yes,Yellow Grandmaster,,3%,750-1000,,,,,
1/29/2024 14:39:31,No,,Farewell,35%,100-150,,,,,
1/29/2024 14:44:31,No,,C-Sides 6-7,15%,60-75,,,,,
1/29/2024 14:44:51,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 14:48:26,Yes,,C-Sides 3-5,45%,40-50,,,,,
1/29/2024 14:49:35,Yes,Green Grandmaster,Farewell,3%,200-300,,,,,
1/29/2024 14:50:13,No,,C-Sides 3-5,45%,75-100,,,,,
1/29/2024 14:52:12,No,,,15%,100-150,,,,,
1/29/2024 14:53:39,Yes,Yellow Advanced,Farewell,7.50%,150-200,,,,,
1/29/2024 15:03:44,Yes,Red Advanced,,65%,200-300,,,,,
1/29/2024 15:07:23,Yes,Red Expert,,3%,750-1000,,,,,
1/29/2024 15:14:25,Yes,Red Grandmaster,,3%,500-750,,,,,
1/29/2024 15:19:54,No,,Farewell,85%,60-75,,,,,
1/29/2024 15:20:06,Yes,Red Intermediate,Farewell,3%,200-300,,,,,
1/29/2024 15:21:22,Yes,Green Grandmaster,,7.50%,300-500,,,,,
1/29/2024 15:22:15,Yes,Red Advanced,,3%,1000-1500,,,,,
1/29/2024 15:26:31,Yes,Yellow Advanced,,0.50%,300-500,,,,,
1/29/2024 15:31:22,Yes,Yellow Expert,,15%,500-750,,,,,
1/29/2024 15:37:05,Yes,Red Expert,,3%,300-500,,,,,
1/29/2024 15:42:33,No,,Farewell,7.50%,200-300,,,,,
1/29/2024 15:52:19,Yes,Yellow Advanced,,45%,300-500,,,,,
1/29/2024 15:52:41,Yes,Grandmaster+,,3%,300-500,,,,,
1/29/2024 15:55:04,Yes,Red Expert,Farewell,3%,500-750,,,,,
1/29/2024 15:55:24,Yes,Green Advanced,Farewell,7.50%,60-75,,,,,
1/29/2024 16:01:20,Yes,Red Beginner,,3%,200-300,,,,,
1/29/2024 16:04:35,No,,Farewell,7.50%,200-300,,,,,
1/29/2024 16:06:22,Yes,Red Intermediate,,3%,300-500,,,,,
1/29/2024 16:08:57,Yes,Grandmaster+,,0.50%,750-1000,,,,,
1/29/2024 16:11:18,Yes,Grandmaster+,,0.50%,1500-2000,,,,,
1/29/2024 16:11:42,Yes,Green Advanced,,7.50%,150-200,,,,,
1/29/2024 16:12:22,Yes,Yellow Grandmaster,,3%,1000-1500,,,,,
1/29/2024 16:12:38,Yes,Green Expert,,15%,200-300,,,,,
1/29/2024 16:13:08,Yes,Green Grandmaster,,3%,750-1000,,,,,
1/29/2024 16:13:46,Yes,Red Expert,,3%,200-300,,,,,
1/29/2024 16:15:26,Yes,Green Grandmaster,,3%,2000+,,,,,
1/29/2024 16:17:39,Yes,Red Expert,,7.50%,500-750,,,,,
1/29/2024 16:20:42,Yes,Green Advanced,Farewell,55%,500-750,,,,,
1/29/2024 16:26:45,Yes,Green Grandmaster,Farewell,25%,500-750,,,,,
1/29/2024 16:32:32,Yes,Red Intermediate,,85%,75-100,,,,,
1/29/2024 16:33:30,Yes,Red Expert,,3%,500-750,,,,,
1/29/2024 16:39:25,No,,Farewell,3%,100-150,,,,,
1/29/2024 16:39:32,Yes,Red Expert,,3%,300-500,,,,,
1/29/2024 16:52:57,Yes,Red Advanced,,3%,500-750,,,,,
1/29/2024 16:53:16,Yes,Yellow Expert,,15%,200-300,,,,,
1/29/2024 16:57:42,Yes,Yellow Expert,,3%,200-300,,,,,
1/29/2024 16:58:29,Yes,Yellow Advanced,,7.50%,100-150,,,,,
1/29/2024 16:59:21,No,,Farewell,7.50%,100-150,,,,,
1/29/2024 17:03:43,Yes,Yellow Expert,,3%,150-200,,,,,
1/29/2024 17:11:51,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 17:20:17,Yes,Red Beginner,,7.50%,60-75,,,,,
1/29/2024 17:34:28,No,,B-Sides 6-7,55%,20-30,,,,,
1/29/2024 17:39:04,Yes,Red Beginner,Farewell,15%,60-75,,,,,
1/29/2024 17:39:08,Yes,Green Grandmaster,,7.50%,500-750,,,,,
1/29/2024 17:40:15,Yes,Green Advanced,,3%,100-150,,,,,
1/29/2024 17:49:55,Yes,Red Advanced,,45%,300-500,,,,,
1/29/2024 17:50:32,No,,Farewell,7.50%,30-40,,,,,
1/29/2024 17:53:23,No,,Farewell,95%,30-40,,,,,
1/29/2024 17:55:18,Yes,Yellow Grandmaster,,3%,150-200,,,,,
1/29/2024 18:27:28,Yes,Red Advanced,,3%,200-300,,,,,
1/29/2024 18:30:50,No,,Farewell,65%,100-150,,,,,
1/29/2024 18:33:52,Yes,Yellow Grandmaster,,0.50%,200-300,,,,,
1/29/2024 18:37:28,No,,Farewell,7.50%,40-50,,,,,
1/29/2024 18:44:32,Yes,Yellow Grandmaster,,3%,500-750,,,,,
1/29/2024 18:51:23,No,,Core,55%,50-60,,,,,
1/29/2024 18:55:45,Yes,Yellow Intermediate,,25%,100-150,,,,,
1/29/2024 19:12:34,No,,B-Sides 6-7,7.50%,60-75,,,,,
1/29/2024 19:15:26,No,,,25%,100-150,,,,,
1/29/2024 19:16:43,Yes,Grandmaster+,Farewell,0.50%,2000+,,,,,
1/29/2024 19:23:20,No,,Farewell,45%,30-40,,,,,
1/29/2024 19:28:14,No,,Farewell,25%,50-60,,,,,
1/29/2024 19:31:12,Yes,Yellow Advanced,,3%,150-200,,,,,
1/29/2024 19:33:18,Yes,Grandmaster+,,25%,750-1000,,,,,
1/29/2024 19:52:30,Yes,Green Expert,,7.50%,100-150,,,,,
1/29/2024 20:22:55,Yes,Grandmaster+,,0.50%,500-750,,,,,
1/29/2024 20:34:00,Yes,Green Grandmaster,,3%,750-1000,,,,,
1/29/2024 21:07:42,No,,Farewell,95%,40-50,,,,,
1/29/2024 21:15:27,Yes,Green Grandmaster,,3%,200-300,,,,,
1/29/2024 21:22:47,No,,B-Sides 3-5,35%,10-20,,,,,
1/29/2024 21:26:24,Yes,Green Expert,,3%,200-300,,,,,
1/29/2024 21:27:17,Yes,Red Advanced,B-Sides 3-5,45%,200-300,,,,,
1/29/2024 21:37:09,Yes,Green Advanced,,7.50%,200-300,,,,,
1/29/2024 21:41:59,No,,,7.50%,60-75,,,,,
1/29/2024 21:53:44,Yes,Yellow Advanced,,3%,100-150,,,,,
1/29/2024 21:56:14,Yes,Red Expert,,0.50%,150-200,,,,,
1/29/2024 22:09:46,Yes,Red Intermediate,,7.50%,100-150,,,,,
1/29/2024 22:13:09,No,,Farewell,3%,150-200,,,,,
1/29/2024 22:13:41,No,,C-Sides 3-5,45%,30-40,,,,,
1/29/2024 22:22:30,Yes,Red Intermediate,,7.50%,100-150,,,,,
1/29/2024 23:12:19,Yes,Green Advanced,,25%,75-100,,,,,
1/29/2024 23:15:35,Yes,Grandmaster+,,3%,750-1000,,,,,
1/29/2024 23:17:09,Yes,Yellow Grandmaster,,3%,150-200,,,,,
1/29/2024 23:23:21,Yes,Red Advanced,,7.50%,300-500,,,,,
1/29/2024 23:25:16,No,,Farewell,55%,60-75,,,,,
1/29/2024 23:32:48,Yes,Red Expert,,3%,300-500,,,,,
1/29/2024 23:51:51,Yes,Grandmaster+,,0.50%,1500-2000,,,,,
1/30/2024 1:36:51,Yes,Red Intermediate,,3%,150-200,,,,,
1/30/2024 3:31:53,No,,C-Sides 6-7,35%,40-50,,,,,
1/30/2024 4:39:43,Yes,Green Grandmaster,,25%,750-1000,,,,,
1/30/2024 4:40:50,Yes,Grandmaster+,,3%,1000-1500,,,,,
1/30/2024 5:57:46,No,,Farewell,55%,100-150,,,,,
1/30/2024 6:07:39,Yes,Yellow Grandmaster,,3%,2000+,,,,,
1/30/2024 7:00:16,Yes,Red Expert,,0.50%,300-500,,,,,
1/30/2024 8:36:29,Yes,Grandmaster+,,0.50%,2000+,,,,,
1/30/2024 8:39:13,Yes,Green Advanced,,3%,100-150,,,,,
1/30/2024 8:53:57,No,,Farewell,15%,20-30,,,,,
1/30/2024 11:00:41,Yes,Grandmaster+,,3%,1000-1500,,,,,
1/30/2024 11:11:42,No,,B-Sides 6-7,75%,60-75,,,,,
1/30/2024 13:08:40,Yes,Yellow Advanced,,3%,200-300,,,,,
1/30/2024 16:36:15,No,,C-Sides 6-7,7.50%,75-100,,,,,
1/30/2024 17:39:46,No,,,15%,75-100,,,,,
1/30/2024 17:53:07,Yes,Red Beginner,Farewell,7.50%,100-150,,,,,
1/30/2024 18:30:09,No,,B-Sides 1-2,75%,5-10,,,,,
1/30/2024 19:39:04,Yes,Yellow Beginner,Farewell,7.50%,200-300,,,,,
1/30/2024 19:45:18,No,,Farewell,3%,200-300,,,,,
1/30/2024 21:20:11,Yes,Yellow Advanced,,40%,100-150,,,,,
1/30/2024 22:17:40,No,,Farewell,35%,40-50,,,,,
1/31/2024 3:02:00,Yes,Red Expert,,3%,300-500,,,,,
1/31/2024 7:46:25,Yes,Red Advanced,,15%,500-750,,,,,
1/31/2024 13:49:26,Yes,Yellow Intermediate,,7.50%,60-75,,,,,
1/31/2024 16:57:16,Yes,Red Beginner,,95%,150-200,,,,,
1/31/2024 18:22:08,Yes,Grandmaster+,,0.50%,500-750,,,,,
2/1/2024 2:18:39,No,,Farewell,7.50%,100-150,,,,,
2/1/2024 9:56:42,Yes,Green Grandmaster,,0.50%,500-750,,,,,
2/1/2024 14:17:04,No,,C-Sides 6-7,7.50%,75-100,,,,,
2/1/2024 18:45:04,Yes,Grandmaster+,,0.50%,1500-2000,,,,,
2/1/2024 19:58:45,Yes,Green Grandmaster,,7.50%,200-300,,,,,
2/2/2024 9:42:24,Yes,Yellow Expert,,3%,750-1000,,,,,
2/2/2024 16:51:53,No,,,15%,150-200,,,,,
2/2/2024 19:17:21,No,,Farewell,15%,40-50,,,,,
2/2/2024 19:18:25,Yes,Yellow Intermediate,,75%,100-150,,,,,
2/2/2024 21:51:55,No,,Farewell,15%,150-200,,,,,
2/3/2024 6:03:15,No,,B-Sides 6-7,15%,20-30,,,,,
2/3/2024 23:05:09,Yes,Red Expert,,75%,150-200,,,,,
2/4/2024 6:56:15,No,,Farewell,7.50%,50-60,,,,,
2/4/2024 20:30:54,Yes,Yellow Intermediate,,65%,75-100,,,,,
2/5/2024 17:10:06,Yes,Green Advanced,,7.50%,100-150,,,,,
2/5/2024 19:49:17,No,,Core,75%,10-20,,,,,
2/7/2024 4:27:32,Yes,Yellow Intermediate,Farewell,45%,150-200,,,,,
2/13/2024 8:01:30,Yes,Red Advanced,,3%,2000+,,,,,
2/16/2024 13:45:58,No,,Farewell,35%,60-75,,,,,
2/16/2024 19:18:43,Yes,Red Beginner,C-Sides 3-5,15%,60-75,,,,,
2/17/2024 14:04:03,No,,B-Sides 1-2,65%,10-20,,,,,
2/18/2024 9:19:52,Yes,Green Grandmaster,,3%,500-750,,,,,
2/22/2024 18:17:23,Yes,Yellow Advanced,Farewell,3%,200-300,,,,,
2/23/2024 1:03:46,No,,B-Sides 3-5,45%,30-40,,,,,
3/23/2024 22:09:06,No,,Chapters 1-3,95%,10-20,,,,,
3/30/2024 15:02:14,Yes,Grandmaster+,,0.50%,2000+,,,,,
3/30/2024 22:30:26,No,,Farewell,15%,50-60,,,,,
4/2/2024 0:38:37,Yes,Red Expert,,3%,300-500,,,,,
4/3/2024 1:19:40,Yes,Yellow Intermediate,,7.50%,60-75,,,,,
4/5/2024 10:23:49,Yes,Green Expert,,15%,150-200,,,,,
4/15/2024 22:36:26,No,,C-Sides 3-5,15%,40-50,,,,,
4/29/2024 14:09:00,No,,Farewell,15%,40-50,,,,,
5/1/2024 11:26:58,No,,Farewell,3%,40-50,,,,,
5/3/2024 22:38:07,Yes,Red Advanced,Farewell,3%,200-300,,,,,
5/4/2024 23:15:52,No,,C-Sides 6-7,7.50%,50-60,,,,,
5/5/2024 21:38:58,Yes,Yellow Advanced,,45%,200-300,,,,,
5/16/2024 6:19:07,Yes,Red Expert,,0.50%,100-150,,,,,
5/18/2024 11:23:10,Yes,Yellow Grandmaster,Farewell,7.50%,300-500,,,,,
5/20/2024 17:46:33,No,,Farewell,0.50%,40-50,,,,,
5/21/2024 5:47:13,Yes,Grandmaster+,,0.50%,500-750,,,,,
5/22/2024 4:04:09,No,Red Advanced,C-Sides 1-2,3%,100-150,,,,,
5/25/2024 1:54:41,No,,,25%,75-100,,,,,
6/7/2024 2:32:46,Yes,Yellow Expert,,3%,200-300,,,,,
6/10/2024 21:50:58,Yes,Yellow Expert,,95%,300-500,,,,,
6/23/2024 14:49:15,No,,Farewell,7.50%,100-150,,,,,
6/26/2024 16:59:25,No,,Farewell,15%,10-20,,,,,
6/28/2024 14:27:23,Yes,Red Expert,,3%,300-500,,,,,
7/2/2024 10:36:26,No,,Chapters 4-5,75%,5-10,,,,,
7/4/2024 17:40:21,Yes,Green Grandmaster,,0.50%,150-200,,,,,
7/7/2024 10:16:05,Yes,Red Advanced,Farewell,3%,150-200,,,,,
7/10/2024 0:31:12,No,,Farewell,7.50%,50-60,,,,,
7/10/2024 14:13:15,Yes,Green Grandmaster,,3%,200-300,,,,,
7/11/2024 5:48:29,Yes,Yellow Expert,Farewell,3%,200-300,,,,,
7/16/2024 17:51:52,Yes,Red Expert,,7.50%,300-500,,,,,
7/17/2024 18:41:08,Yes,Red Advanced,,3%,200-300,,,,,
8/7/2024 11:32:54,Yes,Yellow Advanced,Farewell,0.50%,500-750,,,,,
8/7/2024 19:20:58,Yes,Red Grandmaster,,0.50%,1000-1500,,,,,
8/7/2024 23:44:50,Yes,Red Expert,,7.50%,150-200,,,,,
8/11/2024 2:35:52,Yes,Yellow Expert,,3%,100-150,,,,,
8/13/2024 9:04:32,Yes,Green Grandmaster,Farewell,0.50%,200-300,,,,,
8/25/2024 23:39:34,Yes,Red Expert,,15%,100-150,,,,,
8/26/2024 20:12:09,Yes,Yellow Grandmaster,Farewell,3%,750-1000,,,,,
8/27/2024 14:00:56,No,,Farewell,55%,20-30,,,,,
9/8/2024 12:31:42,Yes,Red Advanced,Farewell,25%,500-750,,,,,
9/11/2024 17:38:24,Yes,Yellow Advanced,,7.50%,100-150,,,,,
9/16/2024 23:01:09,No,,Farewell,3%,50-60,,,,,
9/19/2024 1:29:52,Yes,Yellow Expert,,25%,100-150,,,,,
9/22/2024 22:06:46,Yes,Red Intermediate,Farewell,55%,60-75,,,,,
9/23/2024 5:35:34,Yes,Green Grandmaster,,3%,100-150,,,,,
9/30/2024 20:34:59,Yes,Yellow Advanced,,7.50%,200-300,,,,,
10/1/2024 15:59:47,Yes,Green Advanced,Farewell,55%,20-30,,,,,
10/2/2024 19:09:10,Yes,Grandmaster+,,0.50%,500-750,,,,,
10/3/2024 7:54:06,Yes,Red Intermediate,Farewell,15%,200-300,,,,,
10/6/2024 2:34:26,Yes,Yellow Advanced,Farewell,3%,200-300,,,,,
10/8/2024 16:51:15,No,,C-Sides 6-7,15%,10-20,,,,,
10/11/2024 12:36:32,No,,Farewell,15%,50-60,,,,,
10/20/2024 2:03:32,No,,Farewell,7.50%,20-30,,,,,
10/20/2024 2:53:47,Yes,Red Expert,Farewell,3%,300-500,,,,,
10/23/2024 15:32:32,No,,Farewell,3%,75-100,,,,,
10/27/2024 23:51:15,No,,B-Sides 6-7,15%,30-40,,,,,
10/29/2024 3:22:46,Yes,Green Grandmaster,,0.50%,500-750,,,,,
11/9/2024 16:56:03,No,,Farewell,15%,75-100,,,,,
11/10/2024 5:29:06,Yes,Red Advanced,,3%,100-150,,,,,
11/11/2024 20:43:01,Yes,Yellow Expert,,15%,200-300,,,,,
11/12/2024 17:19:04,Yes,Red Intermediate,Farewell,3%,150-200,,,,,
11/13/2024 17:12:20,Yes,Red Grandmaster,,0.50%,300-500,,,,,
11/22/2024 18:43:27,No,,C-Sides 6-7,55%,50-60,,,,,
11/23/2024 5:56:51,No,,Farewell,0.50%,500-750,,,,,
11/24/2024 21:56:15,No,,Farewell,7.50%,150-200,,,,,
11/25/2024 6:19:07,No,,C-Sides 6-7,45%,50-60,,,,,
11/27/2024 9:37:35,No,,Farewell,85%,100-150,,,,,
11/28/2024 8:21:19,Yes,Yellow Grandmaster,,7.50%,300-500,,,,,
12/3/2024 1:00:43,Yes,Grandmaster+,,3%,500-750,,,,,
12/3/2024 6:05:54,No,,C-Sides 6-7,85%,60-75,,,,,
12/5/2024 4:46:48,No,,Chapters 1-3,95%,5-10,,,,,
12/18/2024 19:32:47,Yes,Green Expert,Farewell,3%,40-50,,,,,
12/20/2024 6:44:10,Yes,Yellow Grandmaster,,3%,200-300,,,,,
12/20/2024 15:54:53,Yes,,Farewell,7.50%,150-200,,,,,
12/23/2024 22:27:14,Yes,Red Advanced,Farewell,7.50%,30-40,,,,,
